scenario,d,M,protocol,tv_weight_err,linf_weight_err,mean_l2_err,guide_cost,branch_time_emp,branch_time_dens
H1A,4,8,B0,0.019369931770199307,0.019369931770199328,0.06581642975676409,1.7406955362884076,0.66,0.635
H1A,4,8,B1,0.02356312731943023,0.020633439819038174,0.08452121351488774,1.7767186914678699,0.755,0.725
H1A,4,8,B2,0.021143149352969244,0.020325485816971328,0.07705001113617646,1.8726921821719533,0.6583333333333334,0.635
H1A,8,8,B0,0.024756302227367723,0.01372247285211825,0.1188967260139227,2.3844633047958,0.6533333333333334,0.635
H1A,8,8,B1,0.023446627425349725,0.011252932960658962,0.10339740937019147,2.384454185670034,0.7533333333333333,0.725
H1A,8,8,B2,0.03080694618167388,0.014129255951653208,0.13054919382523902,2.4799840538606874,0.6533333333333334,0.635
H1A,16,8,B0,0.06066230424329213,0.030681637827273567,0.17512903886211934,3.6729836401571676,0.3916666666666666,0.41
H1A,16,8,B1,0.05175781249998261,0.029842371861511646,0.16587323723438868,3.538679171747985,0.5083333333333333,0.49999999999999994
H1A,16,8,B2,0.0574512378648063,0.028430575953752785,0.17330629852494792,3.6470295405032953,0.46166666666666667,0.49999999999999994
H1A,32,8,B0,0.046019858263523096,0.021486013185713554,0.16435689886535298,6.313948332716479,0.425,0.41
H1A,32,8,B1,0.04546844174187298,0.020740592745530972,0.15758431844483692,5.924581472900581,0.5983333333333334,0.49999999999999994
H1A,32,8,B2,0.04590102996378856,0.0246092228240766,0.16208419584121753,6.03075309030715,0.49833333333333335,0.49999999999999994
H1B,16,2,B0,0.03906250000000025,0.03906250000000028,0.14344360819971574,3.3777819207081095,0.17833333333333332,0.22999999999999998
H1B,16,2,B1,0.04199218750000233,0.04199218750000233,0.14503193265977016,3.291317789446795,0.20166666666666666,0.22999999999999998
H1B,16,2,B2,0.04003906250000022,0.04003906250000022,0.1442702105050532,3.357636396508404,0.215,0.22999999999999998
H1B,16,4,B0,0.03906250000000028,0.033383216740026145,0.14294208321834104,3.4116616554131682,0.17833333333333332,0.22999999999999998
H1B,16,4,B1,0.041992187500002345,0.03290895582326969,0.14453525047965624,3.3198605375307744,0.20166666666666666,0.22999999999999998
H1B,16,4,B2,0.04003906250000021,0.03237300944038535,0.14377089684411526,3.386179144592384,0.215,0.22999999999999998
H1B,16,8,B0,0.06066230424329213,0.030681637827273567,0.17512903886211934,3.6729836401571676,0.3916666666666666,0.41
H1B,16,8,B1,0.05175781249998261,0.029842371861511646,0.16587323723438868,3.538679171747985,0.5083333333333333,0.49999999999999994
H1B,16,8,B2,0.0574512378648063,0.028430575953752785,0.17330629852494792,3.6470295405032953,0.46166666666666667,0.49999999999999994
H1B,16,16,B0,0.062295204246251915,0.018401637705515644,0.17392039102301823,3.6724451517885806,0.3916666666666666,0.41
H1B,16,16,B1,0.05753080221476837,0.016359353750433805,0.16457392942748542,3.538203416037854,0.5083333333333333,0.49999999999999994
H1B,16,16,B2,0.059225986223700705,0.0162268685512732,0.17206312947579883,3.6465537847931646,0.46166666666666667,0.49999999999999994
